currency,term,ticker,field,type,mat_days ,fx_base_convention,base
USDJPY,1W,JPY1W BGN Curncy,PX_ASK,forwards,7,1,USD
USDJPY,2W,JPY2W BGN Curncy,PX_ASK,forwards,14,1,USD
USDJPY,3W,JPY3W BGN Curncy,PX_ASK,forwards,21,1,USD
USDJPY,1M,JPY1M BGN Curncy,PX_ASK,forwards,30,1,USD
USDJPY,2M,JPY2M BGN Curncy,PX_ASK,forwards,60,1,USD
USDJPY,3M,JPY3M BGN Curncy,PX_ASK,forwards,90,1,USD
USDJPY,4M,JPY4M BGN Curncy,PX_ASK,forwards,120,1,USD
USDJPY,5M,JPY5M BGN Curncy,PX_ASK,forwards,150,1,USD
USDJPY,6M,JPY6M BGN Curncy,PX_ASK,forwards,180,1,USD
USDJPY,9M,JPY9M BGN Curncy,PX_ASK,forwards,270,1,USD
USDJPY,12M,JPY12M BGN Curncy,PX_ASK,forwards,360,1,USD
USDJPY,SP,JPY BGN Curncy,PX_ASK,spot,0,1,USD
USDJPY,1W,USOSFR1Z BGN Curncy,PX_LAST,funding,7,1,USD
USDJPY,2W,USOSFR2Z BGN Curncy,PX_LAST,funding,14,1,USD
USDJPY,3W,USOSFR3Z BGN Curncy,PX_LAST,funding,21,1,USD
USDJPY,1M,USOSFRA BGN Curncy,PX_LAST,funding,30,1,USD
USDJPY,2M,USOSFRB BGN Curncy,PX_LAST,funding,60,1,USD
USDJPY,3M,USOSFRC BGN Curncy,PX_LAST,funding,90,1,USD
USDJPY,4M,USOSFRD BGN Curncy,PX_LAST,funding,120,1,USD
USDJPY,5M,USOSFRE BGN Curncy,PX_LAST,funding,150,1,USD
USDJPY,6M,USOSFRF BGN Curncy,PX_LAST,funding,180,1,USD
USDJPY,9M,USOSFRI BGN Curncy,PX_LAST,funding,270,1,USD
USDJPY,12M,USOSFRI BGN Curncy,PX_LAST,funding,360,1,USD
USDJPY,SP,SOFRRATE Index,PX_LAST,funding,0,1,USD
USDJPY,1W,JYSO1Z BGN Curncy,PX_LAST,investment,7,1,USD
USDJPY,2W,JYSO2Z BGN Curncy,PX_LAST,investment,14,1,USD
USDJPY,3W,JYSO1Z BGN Curncy,PX_LAST,investment,21,1,USD
USDJPY,1M,JYSOA BGN Curncy,PX_LAST,investment,30,1,USD
USDJPY,2M,JYSOB BGN Curncy,PX_LAST,investment,60,1,USD
USDJPY,3M,JYSOC BGN Curncy,PX_LAST,investment,90,1,USD
USDJPY,4M,JYSOD BGN Curncy,PX_LAST,investment,120,1,USD
USDJPY,5M,JYSOE BGN Curncy,PX_LAST,investment,150,1,USD
USDJPY,6M,JYSOF BGN Curncy,PX_LAST,investment,180,1,USD
USDJPY,9M,JYSOI BGN Curncy,PX_LAST,investment,270,1,USD
USDJPY,12M,JYSO1 Curncy,PX_LAST,investment,360,1,USD
USDJPY,SP,JYSO1T CMPN Curncy,PX_LAST,investment,0,1,USD
USDCAD,1W,CAD1W BGN Curncy,PX_ASK,forwards,7,1,USD
USDCAD,2W,CAD2W BGN Curncy,PX_ASK,forwards,14,1,USD
USDCAD,3W,CAD3W BGN Curncy,PX_ASK,forwards,21,1,USD
USDCAD,1M,CAD1M BGN Curncy,PX_ASK,forwards,30,1,USD
USDCAD,2M,CAD2M BGN Curncy,PX_ASK,forwards,60,1,USD
USDCAD,3M,CAD3M BGN Curncy,PX_ASK,forwards,90,1,USD
USDCAD,4M,CAD4M BGN Curncy,PX_ASK,forwards,120,1,USD
USDCAD,5M,CAD5M BGN Curncy,PX_ASK,forwards,150,1,USD
USDCAD,6M,CAD6M BGN Curncy,PX_ASK,forwards,180,1,USD
USDCAD,9M,CAD9M BGN Curncy,PX_ASK,forwards,270,1,USD
USDCAD,12M,CAD12M BGN Curncy,PX_ASK,forwards,360,1,USD
USDCAD,SP,CAD BGN Curncy,PX_ASK,spot,0,1,USD
USDCAD,1W,USOSFR1Z BGN Curncy,PX_LAST,funding,7,1,USD
USDCAD,2W,USOSFR2Z BGN Curncy,PX_LAST,funding,14,1,USD
USDCAD,3W,USOSFR3Z BGN Curncy,PX_LAST,funding,21,1,USD
USDCAD,1M,USOSFRA BGN Curncy,PX_LAST,funding,30,1,USD
USDCAD,2M,USOSFRB BGN Curncy,PX_LAST,funding,60,1,USD
USDCAD,3M,USOSFRC BGN Curncy,PX_LAST,funding,90,1,USD
USDCAD,4M,USOSFRD BGN Curncy,PX_LAST,funding,120,1,USD
USDCAD,5M,USOSFRE BGN Curncy,PX_LAST,funding,150,1,USD
USDCAD,6M,USOSFRF BGN Curncy,PX_LAST,funding,180,1,USD
USDCAD,9M,USOSFRI BGN Curncy,PX_LAST,funding,270,1,USD
USDCAD,12M,USOSFRI BGN Curncy,PX_LAST,funding,360,1,USD
USDCAD,1W,CDSO1Z BGN Curncy,PX_LAST,investment,7,1,USD
USDCAD,2W,CDSO2Z BGN Curncy,PX_LAST,investment,14,1,USD
USDCAD,3W,CDSO1Z BGN Curncy,PX_LAST,investment,21,1,USD
USDCAD,1M,CDSOA BGN Curncy,PX_LAST,investment,30,1,USD
USDCAD,2M,CDSOB BGN Curncy,PX_LAST,investment,60,1,USD
USDCAD,3M,CDSOC BGN Curncy,PX_LAST,investment,90,1,USD
USDCAD,4M,CDSOD BGN Curncy,PX_LAST,investment,120,1,USD
USDCAD,5M,CDSOE BGN Curncy,PX_LAST,investment,150,1,USD
USDCAD,6M,CDSOF BGN Curncy,PX_LAST,investment,180,1,USD
USDCAD,9M,CDSOI BGN Curncy,PX_LAST,investment,270,1,USD
USDCAD,12M,CDSO1 Curncy,PX_LAST,investment,360,1,USD
USDCAD,SP,CAONREPO Index,PX_LAST,investment,0,1,USD
EURUSD,1W,EUR1W BGN Curncy,PX_ASK,forwards,7,-1,USD
EURUSD,2W,EUR2W BGN Curncy,PX_ASK,forwards,14,-1,USD
EURUSD,3W,EUR3W BGN Curncy,PX_ASK,forwards,21,-1,USD
EURUSD,1M,EUR1M BGN Curncy,PX_ASK,forwards,30,-1,USD
EURUSD,2M,EUR2M BGN Curncy,PX_ASK,forwards,60,-1,USD
EURUSD,3M,EUR3M BGN Curncy,PX_ASK,forwards,90,-1,USD
EURUSD,4M,EUR4M BGN Curncy,PX_ASK,forwards,120,-1,USD
EURUSD,5M,EUR5M BGN Curncy,PX_ASK,forwards,150,-1,USD
EURUSD,6M,EUR6M BGN Curncy,PX_ASK,forwards,180,-1,USD
EURUSD,9M,EUR9M BGN Curncy,PX_ASK,forwards,270,-1,USD
EURUSD,12M,EUR12M BGN Curncy,PX_ASK,forwards,360,-1,USD
EURUSD,SP,EUR BGN Curncy,PX_ASK,spot,0,-1,USD
EURUSD,1W,USOSFR1Z BGN Curncy,PX_LAST,funding,7,-1,USD
EURUSD,2W,USOSFR2Z BGN Curncy,PX_LAST,funding,14,-1,USD
EURUSD,3W,USOSFR3Z BGN Curncy,PX_LAST,funding,21,-1,USD
EURUSD,1M,USOSFRA BGN Curncy,PX_LAST,funding,30,-1,USD
EURUSD,2M,USOSFRB BGN Curncy,PX_LAST,funding,60,-1,USD
EURUSD,3M,USOSFRC BGN Curncy,PX_LAST,funding,90,-1,USD
EURUSD,4M,USOSFRD BGN Curncy,PX_LAST,funding,120,-1,USD
EURUSD,5M,USOSFRE BGN Curncy,PX_LAST,funding,150,-1,USD
EURUSD,6M,USOSFRF BGN Curncy,PX_LAST,funding,180,-1,USD
EURUSD,9M,USOSFRI BGN Curncy,PX_LAST,funding,270,-1,USD
EURUSD,12M,USOSFRI BGN Curncy,PX_LAST,funding,360,-1,USD
EURUSD,1W,EESWE1Z BGN Curncy,PX_LAST,investment,7,-1,USD
EURUSD,2W,EESWE2Z BGN Curncy,PX_LAST,investment,14,-1,USD
EURUSD,3W,EESWE3Z BGN Curncy,PX_LAST,investment,21,-1,USD
EURUSD,1M,EESWEA BGN Curncy,PX_LAST,investment,30,-1,USD
EURUSD,2M,EESWEB BGN Curncy,PX_LAST,investment,60,-1,USD
EURUSD,3M,EESWEC BGN Curncy,PX_LAST,investment,90,-1,USD
EURUSD,4M,EESWED BGN Curncy,PX_LAST,investment,120,-1,USD
EURUSD,5M,EESWEE BGN Curncy,PX_LAST,investment,150,-1,USD
EURUSD,6M,EESWF BGN Curncy,PX_LAST,investment,180,-1,USD
EURUSD,9M,EESWEI BGN Curncy,PX_LAST,investment,270,-1,USD
EURUSD,12M,EESWE1 BGN Curncy,PX_LAST,investment,360,-1,USD
EURCAD,1W,EURCAD1W BGN Curncy,PX_ASK,forwards,7,1,EUR
EURCAD,2W,EURCAD2W BGN Curncy,PX_ASK,forwards,14,1,EUR
EURCAD,3W,EURCAD3W BGN Curncy,PX_ASK,forwards,21,1,EUR
EURCAD,1M,EURCAD1M BGN Curncy,PX_ASK,forwards,30,1,EUR
EURCAD,2M,EURCAD2M BGN Curncy,PX_ASK,forwards,60,1,EUR
EURCAD,3M,EURCAD3M BGN Curncy,PX_ASK,forwards,90,1,EUR
EURCAD,4M,EURCAD4M BGN Curncy,PX_ASK,forwards,120,1,EUR
EURCAD,5M,EURCAD5M BGN Curncy,PX_ASK,forwards,150,1,EUR
EURCAD,6M,EURCAD6M BGN Curncy,PX_ASK,forwards,180,1,EUR
EURCAD,9M,EURCAD9M BGN Curncy,PX_ASK,forwards,270,1,EUR
EURCAD,12M,EURCAD12M BGN Curncy,PX_ASK,forwards,360,1,EUR
EURCAD,SP,EURCADSN BGN Curncy,PX_ASK,spot,0,1,EUR
EURCAD,1W,CDSO1Z BGN Curncy,PX_LAST,investment,7,1,EUR
EURCAD,2W,CDSO2Z BGN Curncy,PX_LAST,investment,14,1,EUR
EURCAD,3W,CDSO1Z BGN Curncy,PX_LAST,investment,21,1,EUR
EURCAD,1M,CDSOA BGN Curncy,PX_LAST,investment,30,1,EUR
EURCAD,2M,CDSOB BGN Curncy,PX_LAST,investment,60,1,EUR
EURCAD,3M,CDSOC BGN Curncy,PX_LAST,investment,90,1,EUR
EURCAD,4M,CDSOD BGN Curncy,PX_LAST,investment,120,1,EUR
EURCAD,5M,CDSOE BGN Curncy,PX_LAST,investment,150,1,EUR
EURCAD,6M,CDSOF BGN Curncy,PX_LAST,investment,180,1,EUR
EURCAD,9M,CDSOI BGN Curncy,PX_LAST,investment,270,1,EUR
EURCAD,12M,CDSO1 Curncy,PX_LAST,investment,360,1,EUR
EURCAD,1W,EESWE1Z BGN Curncy,PX_LAST,funding,7,1,EUR
EURCAD,2W,EESWE2Z BGN Curncy,PX_LAST,funding,14,1,EUR
EURCAD,3W,EESWE3Z BGN Curncy,PX_LAST,funding,21,1,EUR
EURCAD,1M,EESWEA BGN Curncy,PX_LAST,funding,30,1,EUR
EURCAD,2M,EESWEB BGN Curncy,PX_LAST,funding,60,1,EUR
EURCAD,3M,EESWEC BGN Curncy,PX_LAST,funding,90,1,EUR
EURCAD,4M,EESWED BGN Curncy,PX_LAST,funding,120,1,EUR
EURCAD,5M,EESWEE BGN Curncy,PX_LAST,funding,150,1,EUR
EURCAD,6M,EESWF BGN Curncy,PX_LAST,funding,180,1,EUR
EURCAD,9M,EESWEI BGN Curncy,PX_LAST,funding,270,1,EUR
EURCAD,12M,EESWE1 BGN Curncy,PX_LAST,funding,360,1,EUR
EURUSD,1W,EUR1W BGN Curncy,PX_ASK,forwards,7,1,EUR
EURUSD,2W,EUR2W BGN Curncy,PX_ASK,forwards,14,1,EUR
EURUSD,3W,EUR3W BGN Curncy,PX_ASK,forwards,21,1,EUR
EURUSD,1M,EUR1M BGN Curncy,PX_ASK,forwards,30,1,EUR
EURUSD,2M,EUR2M BGN Curncy,PX_ASK,forwards,60,1,EUR
EURUSD,3M,EUR3M BGN Curncy,PX_ASK,forwards,90,1,EUR
EURUSD,4M,EUR4M BGN Curncy,PX_ASK,forwards,120,1,EUR
EURUSD,5M,EUR5M BGN Curncy,PX_ASK,forwards,150,1,EUR
EURUSD,6M,EUR6M BGN Curncy,PX_ASK,forwards,180,1,EUR
EURUSD,9M,EUR9M BGN Curncy,PX_ASK,forwards,270,1,EUR
EURUSD,12M,EUR12M BGN Curncy,PX_ASK,forwards,360,1,EUR
EURUSD,SP,EUR BGN Curncy,PX_ASK,spot,0,1,EUR
EURUSD,1W,USOSFR1Z BGN Curncy,PX_LAST,investment,7,1,EUR
EURUSD,2W,USOSFR2Z BGN Curncy,PX_LAST,investment,14,1,EUR
EURUSD,3W,USOSFR3Z BGN Curncy,PX_LAST,investment,21,1,EUR
EURUSD,1M,USOSFRA BGN Curncy,PX_LAST,investment,30,1,EUR
EURUSD,2M,USOSFRB BGN Curncy,PX_LAST,investment,60,1,EUR
EURUSD,3M,USOSFRC BGN Curncy,PX_LAST,investment,90,1,EUR
EURUSD,4M,USOSFRD BGN Curncy,PX_LAST,investment,120,1,EUR
EURUSD,5M,USOSFRE BGN Curncy,PX_LAST,investment,150,1,EUR
EURUSD,6M,USOSFRF BGN Curncy,PX_LAST,investment,180,1,EUR
EURUSD,9M,USOSFRI BGN Curncy,PX_LAST,investment,270,1,EUR
EURUSD,12M,USOSFRI BGN Curncy,PX_LAST,investment,360,1,EUR
EURUSD,1W,EESWE1Z BGN Curncy,PX_LAST,funding,7,1,EUR
EURUSD,2W,EESWE2Z BGN Curncy,PX_LAST,funding,14,1,EUR
EURUSD,3W,EESWE3Z BGN Curncy,PX_LAST,funding,21,1,EUR
EURUSD,1M,EESWEA BGN Curncy,PX_LAST,funding,30,1,EUR
EURUSD,2M,EESWEB BGN Curncy,PX_LAST,funding,60,1,EUR
EURUSD,3M,EESWEC BGN Curncy,PX_LAST,funding,90,1,EUR
EURUSD,4M,EESWED BGN Curncy,PX_LAST,funding,120,1,EUR
EURUSD,5M,EESWEE BGN Curncy,PX_LAST,funding,150,1,EUR
EURUSD,6M,EESWF BGN Curncy,PX_LAST,funding,180,1,EUR
EURUSD,9M,EESWEI BGN Curncy,PX_LAST,funding,270,1,EUR
EURUSD,12M,EESWE1 BGN Curncy,PX_LAST,funding,360,1,EUR
CADJPY,1W,CADJPY1W BGN Curncy,PX_ASK,forwards,7,1,CAD
CADJPY,2W,CADJPY2W BGN Curncy,PX_ASK,forwards,14,1,CAD
CADJPY,3W,CADJPY3W BGN Curncy,PX_ASK,forwards,21,1,CAD
CADJPY,1M,CADJPY1M BGN Curncy,PX_ASK,forwards,30,1,CAD
CADJPY,2M,CADJPY2M BGN Curncy,PX_ASK,forwards,60,1,CAD
CADJPY,3M,CADJPY3M BGN Curncy,PX_ASK,forwards,90,1,CAD
CADJPY,4M,CADJPY4M BGN Curncy,PX_ASK,forwards,120,1,CAD
CADJPY,5M,CADJPY5M BGN Curncy,PX_ASK,forwards,150,1,CAD
CADJPY,6M,CADJPY6M BGN Curncy,PX_ASK,forwards,180,1,CAD
CADJPY,9M,CADJPY9M BGN Curncy,PX_ASK,forwards,270,1,CAD
CADJPY,12M,CADJPY12M BGN Curncy,PX_ASK,forwards,360,1,CAD
CADJPY,SP,CADJPY BGN Curncy,PX_ASK,spot,0,1,CAD
CADJPY,1W,CDSO1Z BGN Curncy,PX_LAST,funding,7,1,CAD
CADJPY,2W,CDSO2Z BGN Curncy,PX_LAST,funding,14,1,CAD
CADJPY,3W,CDSO1Z BGN Curncy,PX_LAST,funding,21,1,CAD
CADJPY,1M,CDSOA BGN Curncy,PX_LAST,funding,30,1,CAD
CADJPY,2M,CDSOB BGN Curncy,PX_LAST,funding,60,1,CAD
CADJPY,3M,CDSOC BGN Curncy,PX_LAST,funding,90,1,CAD
