currency,term,ticker,field,type,mat_days ,fx_base_convention,base
CADJPY,4M,CDSOD BGN Curncy,PX_LAST,funding,120,1,CAD
CADJPY,5M,CDSOE BGN Curncy,PX_LAST,funding,150,1,CAD
CADJPY,6M,CDSOF BGN Curncy,PX_LAST,funding,180,1,CAD
CADJPY,9M,CDSOI BGN Curncy,PX_LAST,funding,270,1,CAD
CADJPY,12M,CDSO1 Curncy,PX_LAST,funding,360,1,CAD
CADJPY,SP,CAONREPO Index,PX_LAST,funding,0,1,CAD
CADJPY,1W,JYSO1Z BGN Curncy,PX_LAST,investment,7,1,CAD
CADJPY,2W,JYSO2Z BGN Curncy,PX_LAST,investment,14,1,CAD
CADJPY,3W,JYSO1Z BGN Curncy,PX_LAST,investment,21,1,CAD
CADJPY,1M,JYSOA BGN Curncy,PX_LAST,investment,30,1,CAD
CADJPY,2M,JYSOB BGN Curncy,PX_LAST,investment,60,1,CAD
CADJPY,3M,JYSOC BGN Curncy,PX_LAST,investment,90,1,CAD
CADJPY,4M,JYSOD BGN Curncy,PX_LAST,investment,120,1,CAD
CADJPY,5M,JYSOE BGN Curncy,PX_LAST,investment,150,1,CAD
CADJPY,6M,JYSOF BGN Curncy,PX_LAST,investment,180,1,CAD
CADJPY,9M,JYSOI BGN Curncy,PX_LAST,investment,270,1,CAD
CADJPY,12M,JYSO1 Curncy,PX_LAST,investment,360,1,CAD
CADJPY,SP,JYSO1T CMPN Curncy,PX_LAST,investment,0,1,CAD
AUDUSD,1W,AUD1W BGN Curncy,PX_ASK,forwards,7,-1,USD
AUDUSD,2W,AUD2W BGN Curncy,PX_ASK,forwards,14,-1,USD
AUDUSD,3W,AUD3W BGN Curncy,PX_ASK,forwards,21,-1,USD
AUDUSD,1M,AUD1M BGN Curncy,PX_ASK,forwards,30,-1,USD
AUDUSD,2M,AUD2M BGN Curncy,PX_ASK,forwards,60,-1,USD
AUDUSD,3M,AUD3M BGN Curncy,PX_ASK,forwards,90,-1,USD
AUDUSD,4M,AUD4M BGN Curncy,PX_ASK,forwards,120,-1,USD
AUDUSD,5M,AUD5M BGN Curncy,PX_ASK,forwards,150,-1,USD
AUDUSD,6M,AUD6M BGN Curncy,PX_ASK,forwards,180,-1,USD
AUDUSD,9M,AUD9M BGN Curncy,PX_ASK,forwards,270,-1,USD
AUDUSD,12M,AUD12M BGN Curncy,PX_ASK,forwards,360,-1,USD
AUDUSD,SP,AUD BGN Curncy,PX_ASK,spot,0,-1,USD
AUDUSD,1W,USOSFR1Z BGN Curncy,PX_LAST,funding,7,-1,USD
AUDUSD,2W,USOSFR2Z BGN Curncy,PX_LAST,funding,14,-1,USD
AUDUSD,3W,USOSFR3Z BGN Curncy,PX_LAST,funding,21,-1,USD
AUDUSD,1M,USOSFRA BGN Curncy,PX_LAST,funding,30,-1,USD
AUDUSD,2M,USOSFRB BGN Curncy,PX_LAST,funding,60,-1,USD
AUDUSD,3M,USOSFRC BGN Curncy,PX_LAST,funding,90,-1,USD
AUDUSD,4M,USOSFRD BGN Curncy,PX_LAST,funding,120,-1,USD
AUDUSD,5M,USOSFRE BGN Curncy,PX_LAST,funding,150,-1,USD
AUDUSD,6M,USOSFRF BGN Curncy,PX_LAST,funding,180,-1,USD
AUDUSD,9M,USOSFRI BGN Curncy,PX_LAST,funding,270,-1,USD
AUDUSD,12M,USOSFRI BGN Curncy,PX_LAST,funding,360,-1,USD
AUDUSD,1W,ADSO1Z BGN Curncy,PX_LAST,investment,7,-1,USD
AUDUSD,2W,ADSO2Z BGN Curncy,PX_LAST,investment,14,-1,USD
AUDUSD,3W,ADSO1Z BGN Curncy,PX_LAST,investment,21,-1,USD
AUDUSD,1M,ADSOA BGN Curncy,PX_LAST,investment,30,-1,USD
AUDUSD,2M,ADSOB BGN Curncy,PX_LAST,investment,60,-1,USD
AUDUSD,3M,ADSOC BGN Curncy,PX_LAST,investment,90,-1,USD
AUDUSD,4M,ADSOD BGN Curncy,PX_LAST,investment,120,-1,USD
AUDUSD,5M,ADSOE BGN Curncy,PX_LAST,investment,150,-1,USD
AUDUSD,6M,ADSOF BGN Curncy,PX_LAST,investment,180,-1,USD
AUDUSD,9M,ADSOI BGN Curncy,PX_LAST,investment,270,-1,USD
AUDUSD,12M,ADSO1 Curncy,PX_LAST,investment,360,-1,USD
EURCAD,1W,EURCAD1W BGN Curncy,PX_ASK,forwards,7,-1,CAD
EURCAD,2W,EURCAD2W BGN Curncy,PX_ASK,forwards,14,-1,CAD
EURCAD,3W,EURCAD3W BGN Curncy,PX_ASK,forwards,21,-1,CAD
EURCAD,1M,EURCAD1M BGN Curncy,PX_ASK,forwards,30,-1,CAD
EURCAD,2M,EURCAD2M BGN Curncy,PX_ASK,forwards,60,-1,CAD
EURCAD,3M,EURCAD3M BGN Curncy,PX_ASK,forwards,90,-1,CAD
EURCAD,4M,EURCAD4M BGN Curncy,PX_ASK,forwards,120,-1,CAD
EURCAD,5M,EURCAD5M BGN Curncy,PX_ASK,forwards,150,-1,CAD
EURCAD,6M,EURCAD6M BGN Curncy,PX_ASK,forwards,180,-1,CAD
EURCAD,9M,EURCAD9M BGN Curncy,PX_ASK,forwards,270,-1,CAD
EURCAD,12M,CDEU12M BGN Curncy,PX_ASK,forwards,360,-1,CAD
EURCAD,SP,CADEUR BGN Curncy,PX_ASK,spot,0,-1,CAD
EURCAD,1W,CDSO1Z BGN Curncy,PX_LAST,funding,7,-1,CAD
EURCAD,2W,CDSO2Z BGN Curncy,PX_LAST,funding,14,-1,CAD
EURCAD,3W,CDSO1Z BGN Curncy,PX_LAST,funding,21,-1,CAD
EURCAD,1M,CDSOA BGN Curncy,PX_LAST,funding,30,-1,CAD
EURCAD,2M,CDSOB BGN Curncy,PX_LAST,funding,60,-1,CAD
EURCAD,3M,CDSOC BGN Curncy,PX_LAST,funding,90,-1,CAD
EURCAD,4M,CDSOD BGN Curncy,PX_LAST,funding,120,-1,CAD
EURCAD,5M,CDSOE BGN Curncy,PX_LAST,funding,150,-1,CAD
EURCAD,6M,CDSOF BGN Curncy,PX_LAST,funding,180,-1,CAD
EURCAD,9M,CDSOI BGN Curncy,PX_LAST,funding,270,-1,CAD
EURCAD,12M,CDSO1 Curncy,PX_LAST,funding,360,-1,CAD
EURCAD,SP,CAONREPO Index,PX_LAST,funding,0,-1,CAD
EURCAD,1W,EESWE1Z BGN Curncy,PX_LAST,investment,7,-1,CAD
EURCAD,2W,EESWE2Z BGN Curncy,PX_LAST,investment,14,-1,CAD
EURCAD,3W,EESWE3Z BGN Curncy,PX_LAST,investment,21,-1,CAD
EURCAD,1M,EESWEA BGN Curncy,PX_LAST,investment,30,-1,CAD
EURCAD,2M,EESWEB BGN Curncy,PX_LAST,investment,60,-1,CAD
EURCAD,3M,EESWEC BGN Curncy,PX_LAST,investment,90,-1,CAD
EURCAD,4M,EESWED BGN Curncy,PX_LAST,investment,120,-1,CAD
EURCAD,5M,EESWEE BGN Curncy,PX_LAST,investment,150,-1,CAD
EURCAD,6M,EESWF BGN Curncy,PX_LAST,investment,180,-1,CAD
EURCAD,9M,EESWEI BGN Curncy,PX_LAST,investment,270,-1,CAD
EURCAD,12M,EESWE1 BGN Curncy,PX_LAST,investment,360,-1,CAD
EURCAD,SP,ESTRON Index,PX_LAST,investment,0,-1,CAD
AUDCAD,1W,AUDCAD1W BGN Curncy,PX_ASK,forwards,7,-1,CAD
AUDCAD,2W,AUDCAD2W BGN Curncy,PX_ASK,forwards,14,-1,CAD
AUDCAD,3W,AUDCAD3W BGN Curncy,PX_ASK,forwards,21,-1,CAD
AUDCAD,1M,AUDCAD1M BGN Curncy,PX_ASK,forwards,30,-1,CAD
AUDCAD,2M,AUDCAD2M BGN Curncy,PX_ASK,forwards,60,-1,CAD
AUDCAD,3M,AUDCAD3M BGN Curncy,PX_ASK,forwards,90,-1,CAD
AUDCAD,4M,AUDCAD4M BGN Curncy,PX_ASK,forwards,120,-1,CAD
AUDCAD,5M,AUDCAD5M BGN Curncy,PX_ASK,forwards,150,-1,CAD
AUDCAD,6M,AUDCAD6M BGN Curncy,PX_ASK,forwards,180,-1,CAD
AUDCAD,9M,AUDCAD9M BGN Curncy,PX_ASK,forwards,270,-1,CAD
AUDCAD,12M,CDAD12M BGN Curncy,PX_ASK,forwards,360,-1,CAD
AUDCAD,SP,AUDCAD BGN Curncy,PX_ASK,spot,0,-1,CAD
AUDCAD,1W,CDSO1Z BGN Curncy,PX_LAST,funding,7,-1,CAD
AUDCAD,2W,CDSO2Z BGN Curncy,PX_LAST,funding,14,-1,CAD
AUDCAD,3W,CDSO1Z BGN Curncy,PX_LAST,funding,21,-1,CAD
AUDCAD,1M,CDSOA BGN Curncy,PX_LAST,funding,30,-1,CAD
AUDCAD,2M,CDSOB BGN Curncy,PX_LAST,funding,60,-1,CAD
AUDCAD,3M,CDSOC BGN Curncy,PX_LAST,funding,90,-1,CAD
AUDCAD,4M,CDSOD BGN Curncy,PX_LAST,funding,120,-1,CAD
AUDCAD,5M,CDSOE BGN Curncy,PX_LAST,funding,150,-1,CAD
AUDCAD,6M,CDSOF BGN Curncy,PX_LAST,funding,180,-1,CAD
AUDCAD,9M,CDSOI BGN Curncy,PX_LAST,funding,270,-1,CAD
AUDCAD,12M,CDSO1 Curncy,PX_LAST,funding,360,-1,CAD
AUDCAD,SP,CAONREPO Index,PX_LAST,funding,0,-1,CAD
AUDCAD,1W,ADSO1Z BGN Curncy,PX_LAST,investment,7,-1,CAD
AUDCAD,2W,ADSO2Z BGN Curncy,PX_LAST,investment,14,-1,CAD
AUDCAD,3W,ADSO1Z BGN Curncy,PX_LAST,investment,21,-1,CAD
AUDCAD,1M,ADSOA BGN Curncy,PX_LAST,investment,30,-1,CAD
AUDCAD,2M,ADSOB BGN Curncy,PX_LAST,investment,60,-1,CAD
AUDCAD,3M,ADSOC BGN Curncy,PX_LAST,investment,90,-1,CAD
AUDCAD,4M,ADSOD BGN Curncy,PX_LAST,investment,120,-1,CAD
AUDCAD,5M,ADSOE BGN Curncy,PX_LAST,investment,150,-1,CAD
AUDCAD,6M,ADSOF BGN Curncy,PX_LAST,investment,180,-1,CAD
AUDCAD,9M,ADSOI BGN Curncy,PX_LAST,investment,270,-1,CAD
AUDCAD,12M,ADSO1 Curncy,PX_LAST,investment,360,-1,CAD
AUDCAD,SP,ADSOC BGN Curncy,PX_LAST,investment,0,-1,CAD
EURAUD,1W,EURAUD1W BGN Curncy,PX_ASK,forwards,7,1,EUR
EURAUD,2W,EURAUD2W BGN Curncy,PX_ASK,forwards,14,1,EUR
EURAUD,3W,EURAUD3W BGN Curncy,PX_ASK,forwards,21,1,EUR
EURAUD,1M,EURAUD1M BGN Curncy,PX_ASK,forwards,30,1,EUR
EURAUD,2M,EURAUD2M BGN Curncy,PX_ASK,forwards,60,1,EUR
EURAUD,3M,EURAUD3M BGN Curncy,PX_ASK,forwards,90,1,EUR
EURAUD,4M,EURAUD4M BGN Curncy,PX_ASK,forwards,120,1,EUR
EURAUD,5M,EURAUD5M BGN Curncy,PX_ASK,forwards,150,1,EUR
EURAUD,6M,EURAUD6M BGN Curncy,PX_ASK,forwards,180,1,EUR
EURAUD,9M,EURAUD9M BGN Curncy,PX_ASK,forwards,270,1,EUR
EURAUD,12M,EURAUD12M BGN Curncy,PX_ASK,forwards,360,1,EUR
EURAUD,SP,EURAUDSN BGN Curncy,PX_ASK,spot,0,1,EUR
EURAUD,1W,ADSO1Z BGN Curncy,PX_LAST,investment,7,1,EUR
EURAUD,2W,ADSO2Z BGN Curncy,PX_LAST,investment,14,1,EUR
EURAUD,3W,ADSO1Z BGN Curncy,PX_LAST,investment,21,1,EUR
EURAUD,1M,ADSOA BGN Curncy,PX_LAST,investment,30,1,EUR
EURAUD,2M,ADSOB BGN Curncy,PX_LAST,investment,60,1,EUR
EURAUD,3M,ADSOC BGN Curncy,PX_LAST,investment,90,1,EUR
EURAUD,4M,ADSOD BGN Curncy,PX_LAST,investment,120,1,EUR
EURAUD,5M,ADSOE BGN Curncy,PX_LAST,investment,150,1,EUR
EURAUD,6M,ADSOF BGN Curncy,PX_LAST,investment,180,1,EUR
EURAUD,9M,ADSOI BGN Curncy,PX_LAST,investment,270,1,EUR
EURAUD,12M,ADSO1 Curncy,PX_LAST,investment,360,1,EUR
EURAUD,1W,EESWE1Z BGN Curncy,PX_LAST,funding,7,1,EUR
EURAUD,2W,EESWE2Z BGN Curncy,PX_LAST,funding,14,1,EUR
EURAUD,3W,EESWE3Z BGN Curncy,PX_LAST,funding,21,1,EUR
EURAUD,1M,EESWEA BGN Curncy,PX_LAST,funding,30,1,EUR
EURAUD,2M,EESWEB BGN Curncy,PX_LAST,funding,60,1,EUR
EURAUD,3M,EESWEC BGN Curncy,PX_LAST,funding,90,1,EUR
EURAUD,4M,EESWED BGN Curncy,PX_LAST,funding,120,1,EUR
EURAUD,5M,EESWEE BGN Curncy,PX_LAST,funding,150,1,EUR
EURAUD,6M,EESWF BGN Curncy,PX_LAST,funding,180,1,EUR
EURAUD,9M,EESWEI BGN Curncy,PX_LAST,funding,270,1,EUR
EURAUD,12M,EESWE1 BGN Curncy,PX_LAST,funding,360,1,EUR
EURJPY,1W,EURJPY1W BGN Curncy,PX_ASK,forwards,7,1,EUR
EURJPY,2W,EURJPY2W BGN Curncy,PX_ASK,forwards,14,1,EUR
EURJPY,3W,EURJPY3W BGN Curncy,PX_ASK,forwards,21,1,EUR
EURJPY,1M,EURJPY1M BGN Curncy,PX_ASK,forwards,30,1,EUR
EURJPY,2M,EURJPY2M BGN Curncy,PX_ASK,forwards,60,1,EUR
EURJPY,3M,EURJPY3M BGN Curncy,PX_ASK,forwards,90,1,EUR
EURJPY,4M,EURJPY4M BGN Curncy,PX_ASK,forwards,120,1,EUR
EURJPY,5M,EURJPY5M BGN Curncy,PX_ASK,forwards,150,1,EUR
EURJPY,6M,EURJPY6M BGN Curncy,PX_ASK,forwards,180,1,EUR
EURJPY,9M,EURJPY9M BGN Curncy,PX_ASK,forwards,270,1,EUR
EURJPY,12M,EURJPY12M BGN Curncy,PX_ASK,forwards,360,1,EUR
EURJPY,SP,EURJPY BGN Curncy,PX_ASK,spot,0,1,EUR
EURJPY,1W,JYSO1Z BGN Curncy,PX_LAST,investment,7,1,EUR
EURJPY,2W,JYSO2Z BGN Curncy,PX_LAST,investment,14,1,EUR
EURJPY,3W,JYSO1Z BGN Curncy,PX_LAST,investment,21,1,EUR
EURJPY,1M,JYSOA BGN Curncy,PX_LAST,investment,30,1,EUR
EURJPY,2M,JYSOB BGN Curncy,PX_LAST,investment,60,1,EUR
EURJPY,3M,JYSOC BGN Curncy,PX_LAST,investment,90,1,EUR
EURJPY,4M,JYSOD BGN Curncy,PX_LAST,investment,120,1,EUR
EURJPY,5M,JYSOE BGN Curncy,PX_LAST,investment,150,1,EUR
EURJPY,6M,JYSOF BGN Curncy,PX_LAST,investment,180,1,EUR
EURJPY,9M,JYSOI BGN Curncy,PX_LAST,investment,270,1,EUR
EURJPY,12M,JYSO1 Curncy,PX_LAST,investment,360,1,EUR
EURJPY,1W,EESWE1Z BGN Curncy,PX_LAST,funding,7,1,EUR
EURJPY,2W,EESWE2Z BGN Curncy,PX_LAST,funding,14,1,EUR
EURJPY,3W,EESWE3Z BGN Curncy,PX_LAST,funding,21,1,EUR
EURJPY,1M,EESWEA BGN Curncy,PX_LAST,funding,30,1,EUR
EURJPY,2M,EESWEB BGN Curncy,PX_LAST,funding,60,1,EUR
EURJPY,3M,EESWEC BGN Curncy,PX_LAST,funding,90,1,EUR
EURJPY,4M,EESWED BGN Curncy,PX_LAST,funding,120,1,EUR
EURJPY,5M,EESWEE BGN Curncy,PX_LAST,funding,150,1,EUR
EURJPY,6M,EESWF BGN Curncy,PX_LAST,funding,180,1,EUR
EURJPY,9M,EESWEI BGN Curncy,PX_LAST,funding,270,1,EUR
EURJPY,12M,EESWE1 BGN Curncy,PX_LAST,funding,360,1,EUR
